vitesse SPI : 1953125

Gyroscope trouve

Nb lu: 2

gyro_config ok !
fin calibration, -386, 1661, 3479
fin calibration, -379, 1673, 3402
fin calibration, -386, 1671, 3398
fin calibration, -382, 1671, 3406
fin calibration, -392, 1670, 3408
fin calibration, -380, 1671, 3417
fin calibration, -384, 1680, 3429
fin calibration, -379, 1671, 3448
fin calibration, -387, 1678, 3428
fin calibration, -391, 1674, 3436
fin calibration, -382, 1684, 3430
fin calibration, -392, 1676, 3427
fin calibration, -391, 1686, 3442
fin calibration, -390, 1681, 3438
fin calibration, -398, 1676, 3449
fin calibration, -401, 1681, 3447
fin calibration, -391, 1667, 3464
fin calibration, -395, 1673, 3471
fin calibration, -396, 1675, 3469
fin calibration, -389, 1679, 3466
fin calibration, -383, 1678, 3458
fin calibration, -382, 1670, 3463
fin calibration, -388, 1676, 3471
fin calibration, -399, 1691, 3436
fin calibration, -401, 1690, 3452
fin calibration, -406, 1709, 3412
fin calibration, -408, 1707, 3417
fin calibration, -410, 1698, 3425
fin calibration, -418, 1697, 3428
fin calibration, -418, 1705, 3420
fin calibration, -408, 1708, 3414
fin calibration, -417, 1719, 3404
fin calibration, -405, 1695, 3449
fin calibration, -390, 1686, 3487
fin calibration, -386, 1681, 3500
fin calibration, -398, 1684, 3502
fin calibration, -383, 1676, 3500
fin calibration, -392, 1686, 3473
fin calibration, -386, 1681, 3506
fin calibration, -386, 1678, 3517
fin calibration, -393, 1679, 3490
fin calibration, -382, 1680, 3486
fin calibration, -393, 1686, 3492
fin calibration, -387, 1692, 3480
fin calibration, -388, 1691, 3485
fin calibration, -390, 1678, 3500
fin calibration, -385, 1686, 3485
fin calibration, -397, 1692, 3483
fin calibration, -393, 1692, 3497
fin calibration, -394, 1682, 3489
fin calibration, -393, 1682, 3508
fin calibration, -393, 1692, 3513
fin calibration, -382, 1673, 3560
fin calibration, -397, 1695, 3495
fin calibration, -387, 1688, 3510
fin calibration, -377, 1677, 3520
fin calibration, -381, 1680, 3533
fin calibration, -388, 1675, 3531
fin calibration, -392, 1680, 3533
fin calibration, -380, 1685, 3537
fin calibration, -384, 1694, 3527

Calibration...

