fin calibration, -362, 1693, 3815
.fin calibration, -342, 1682, 3710
.fin calibration, -351, 1695, 3677
.fin calibration, -345, 1696, 3660
.fin calibration, -334, 1686, 3656
.fin calibration, -343, 1688, 3639
.fin calibration, -331, 1702, 3626
.fin calibration, -335, 1686, 3634
.fin calibration, -321, 1678, 3666
.fin calibration, -323, 1692, 3616
.fin calibration, -330, 1692, 3617
.fin calibration, -319, 1693, 3623
.fin calibration, -320, 1690, 3619
.fin calibration, -320, 1700, 3626
.fin calibration, -320, 1694, 3639
.fin calibration, -317, 1693, 3602
.fin calibration, -319, 1698, 3607
.fin calibration, -316, 1694, 3598
.fin calibration, -313, 1687, 3632
.fin calibration, -310, 1685, 3608
.fin calibration, -313, 1700, 3595
.fin calibration, -331, 1704, 3576
.fin calibration, -330, 1702, 3584
.fin calibration, -324, 1699, 3594
.fin calibration, -323, 1699, 3585
.fin calibration, -306, 1682, 3616
.fin calibration, -297, 1676, 3631
.fin calibration, -312, 1701, 3589
.fin calibration, -308, 1687, 3595
.fin calibration, -315, 1695, 3574
.fin calibration, -314, 1695, 3567
.fin calibration, -307, 1687, 3593
.fin calibration, -313, 1694, 3566
.fin calibration, -307, 1696, 3582
.fin calibration, -308, 1705, 3569
.fin calibration, -306, 1697, 3591
.fin calibration, -295, 1686, 3575
.fin calibration, -315, 1706, 3550
.fin calibration, -308, 1697, 3567
.fin calibration, -305, 1706, 3560
.fin calibration, -296, 1691, 3598
.fin calibration, -308, 1708, 3558
.fin calibration, -310, 1709, 3547
.fin calibration, -306, 1711, 3546
.fin calibration, -305, 1708, 3550
.fin calibration, -304, 1711, 3554
.fin calibration, -301, 1704, 3565
.fin calibration, -310, 1712, 3555
.fin calibration, -300, 1702, 3563
.fin calibration, -301, 1709, 3534
.fin calibration, -293, 1703, 3541
.fin calibration, -277, 1685, 3595
.fin calibration, -307, 1715, 3527
.fin calibration, -298, 1703, 3526
.fin calibration, -305, 1716, 3519
.fin calibration, -292, 1710, 3554
.fin calibration, -300, 1720, 3511
.fin calibration, -298, 1717, 3513
.fin calibration, -302, 1717, 3508
.fin calibration, -308, 1728, 3491
.fin calibration, -324, 1745, 3475
.fin calibration, -312, 1726, 3498
.fin calibration, -297, 1728, 3499
.fin calibration, -301, 1719, 3496
.fin calibration, -305, 1722, 3492
.fin calibration, -300, 1717, 3503
.fin calibration, -291, 1714, 3530
.fin calibration, -292, 1719, 3499
.fin calibration, -293, 1720, 3511
.fin calibration, -288, 1726, 3511
.fin calibration, -305, 1729, 3490
.fin calibration, -310, 1732, 3466
.fin calibration, -311, 1738, 3462
.fin calibration, -295, 1738, 3468
.fin calibration, -302, 1734, 3478
.fin calibration, -291, 1725, 3511
.fin calibration, -302, 1738, 3464
.fin calibration, -305, 1735, 3479
.fin calibration, -299, 1732, 3468
.fin calibration, -303, 1743, 3478
.fin calibration, -305, 1737, 3466
.fin calibration, -307, 1750, 3452
.fin calibration, -303, 1747, 3461
.fin calibration, -307, 1753, 3461
.fin calibration, -316, 1752, 3459
.fin calibration, -302, 1739, 3460

